term,simple
apnea,Apnea is when breathing stops.
apnea of prematurity,Babies born prematurely sometimes pause their breathing due to underdeveloped brain and weak airway muscles.
apneic,"When you're apneic, you're not breathing for a moment."
apneustic breathing,"Abnormal breathing caused by brain damage, often from strokes or trauma."
APO,APO is a treatment for cancer that uses specific drugs to help fight the disease.
aponeurosis,A tough tissue that connects muscle to bone.
apophysitis,When the spot where muscle meets bone gets inflamed or hurt due to overuse or injury.
apoptosis,Controlled cell death in a cell.
apoptotic,Cells that are dying and breaking down into smaller parts.
APOPTOTIC BODIES,Parts of cells that are in the process of dying.
APOPTOTIC BODY,Apopotic bodies are the remains of cells that are in the process of dying.
apparent diffusion coefficient,A type of imaging that shows detailed views inside the body.
Appearance,A mineral and salt water solution given directly into a vein through a tube.
append,A finger-like pouch near the large bowel in the lower right side of the abdomen.
appendage,A body part like an arm or leg that's attached to the main part of the body.
appendages,Appendages are body parts like arms and legs that stick out from the main part of your body.
appendectomy,"A surgery to take out the appendix, a small pouch in the large intestine."
appendiceal,A body part related to the appendix.
appendicitis,"Appendicitis is when your appendix gets swollen and inflamed, typically causing stomach pain."
appendicolith,A calcium buildup in the appendix that can cause pain and enlargement.
appendicoliths,A calcium buildup in a small digestive organ that can make it swollen and painful.
appendicovesicostomy,A tube created inside the body to drain the bladder.
appendicular,"The appendicular skeleton includes the bones of the arms, legs, and their connecting bones in the body."
appendicular artery,A small artery that supplies blood to the appendix.
Appendix,A small finger-like pouch in the lower right belly of the large bowel.
appetite,Wanting to eat food.
appetitive,A fancy word for wanting to eat something.
Appi,A surgery to take out the small pouch called the appendix located in the large intestine.
Appl,Apply medicine cream to your skin.
apple,A narrowing of the colon that could be caused by various factors.
Application,"An application is an amount of weight, for example, a dollar bill weighs one gram."
apply,Rubbing on some cream to help with a skin issue.
appopriately,Related to mental health.
apposed,Placed right next to each other.
apposing,Placed next to each other.
apposition,Placed close together.
appreciate,To recognize the value or understand something.
appreciated,To be thankful for something.
apprised,To be apprised means to be informed or told.
apprising,Being informed or let in on something.
Appropriate,Proper behavior for a given situation.
approved,Given permission to proceed.
approximal,Approximal means something is close or near in distance or quality.
approximate,To put pieces together closely enough.
approximated,Approximated means bringing parts closer together.
approximating,Putting pieces together as close as possible.
approximation,Approximation means bringing two things close to each other.
Appy,"A surgery to take out the appendix, a little pouch in the large intestine."
apractic,Having normal muscle function but having difficulty moving freely.
apraxia,Difficulty initiating or performing certain actions even when muscles are fine.
Apresoline,A small dose of a medication.
APRN,An APRN is a nurse with advanced training who can work in various medical fields.
apronectomy,A surgery to get rid of extra skin and tissue from the lower belly.
apss,When you choke on your food or drink by accident.
Apthous,Apthous means having canker sores.
Aptivus,Aptivus is a medication used in combination with other drugs to help treat people with HIV.
Aptus Endotack,A steel screw that connects one graft to another.
Aquacel,Aquacel is a type of bandage that helps prevent infections.
Aquacel AG,A type of bandage that can help prevent infections called Aquacel AG.
aquagel,A type of drug used for medicinal purposes.
Aquaphor,Aquaphor is a product that helps to keep skin moist and soft.
Aquaplast,Aquaplast is a brand of device used after nose surgery to keep the new shape intact.
aqueducts,A channel in the brain that connects the third and fourth ventricles.
aqueous,Related to water.
AraC,A drug for certain cancer treatments.
arachnid,A creepy-crawly spider.
arachnoid,A tissue layer that covers the brain and spinal cord.
arachnoiditis,"Arachnoiditis is when the protective membrane around the spinal nerves gets inflamed, causing intense pain and nerve issues."
Aranesp,Aranesp is a drug used to treat low red blood cell levels.
ARB,A drug that helps lower blood pressure.
arc of Riolan,A special artery that can join two important arteries in the intestines when they're not working well.
arcade,An arcade is like a mini highway where blood vessels branch off and then reconnect to provide nutrients to tissues.
arcades,"Arcades are loops in the body's blood vessels that branch off and rejoin their starting point, supplying tissues with blood through smaller branches."
arch,The arch of the foot is the curved part on the bottom of our feet.
arch vessels,Big arteries branching off the aorta that supply blood to the head and arms.
arched,The arch of the aorta bends over the heart.
arches,The arched portion of the aorta above the heart.
Archimedes spiral,A spiraling drawing that follows a specific geometric pattern.
Architectural,A warning sign that can be visible in X-rays.
architectural distortion,A warning sign in X-rays that shows something abnormal in the structure of the body.
architecture,How a body part is built.
archives,Archives are collections of records showing what happened in the past.
Arcoxia,Arcoxia is a type of medication.
arcs and rings,A pattern of calcium deposits in a bone seen on an X-ray that could indicate cartilage-derived tumors.
arctic,A type of cold therapy used for knee or shoulder injuries.
arcuate ligament syndrome,A condition where tissue in the chest area presses on an important blood vessel supplying the upper abdomen.
arcus,Cloudy ring in the eye's white part that's harmless.
arcus senilis,A cloudy ring in the eye that is harmless.
ARDS,ARDS is a serious lung problem that causes dangerously low oxygen levels and can be life-threatening.
ARDSnet,A group of researchers providing guidance on treating a serious lung condition.
arduous,Tough and challenging.
area,"A small unit of measurement, around half an inch in size."
areolar,A circular area on the skin or body that looks different from the surrounding tissue.
ARF,When the kidneys suddenly stop working leading to a dangerous buildup of fluid in the body.
argatroban,Argatroban is a medication that helps prevent the formation of blood clots.
arginine,Arginine is a type of ingredient found in protein that helps the body build and repair tissues.
argon beam,"A tool used in surgery that stops bleeding by sealing blood vessels, speeding up healing."
argon beam coagulation,A medical tool used in surgery to seal blood vessels and speed up healing.
argon beam coagulator,A device used in surgery that stops bleeding and helps patients recover faster.
Argon beam laser,A tool that helps surgeons seal blood vessels quickly during surgery with less recovery time.
argon beam photocoagulator,A tool that helps stop bleeding during certain medical procedures in the digestive system.
argon coagulator,A device used in surgery that stops bleeding by sealing blood vessels to help patients heal faster.
argon laser,A special laser used for certain eye treatments.
argon plasma coagulation,A way to stop bleeding in the gut after surgery using argon plasma.
argoned,A procedure that uses an electrical current through argon gas to treat tissue or stop bleeding.
argumenatative,Always looking for a fight and arguing angrily.
argumentative,Ready to pick a fight with anyone at any time.
ARh positive,"A blood type with a protein (Rh factor) on the red blood cell, which can cause issues during childbirth or transfusions."
Aricept,Medication for Alzheimer's patients to treat memory loss and cognitive decline.
arimidex,Arimidex is a drug that helps stop or slow the growth of breast cancer cells.
Arixtra,Arixtra is a medicine that helps stop blood from clotting.
Arm,Your arm is the part of your body that goes from your shoulder to your hand.
Arm Basic,Arm Basic: Indicators of how your body is functioning.
arm slings,Arm slings are supports that help keep an injured arm or shoulder in place and stable.
armboard,A board used to support and secure the arm for medical procedures like IV insertion.
arms,Your arms are the parts of your body that go from your shoulders to your hands.
Arnold Chiari,"A condition where the brain doesn't form correctly, commonly seen in individuals with spina bifida."
AROM,Breaking the sac of fluid around a baby during childbirth to help deliver the baby faster.
aromatase inhibitor,A drug that helps lower estrogen levels to treat certain types of breast cancer.
aromatase inhibitors,"Medication that lowers estrogen levels, which can be beneficial in treating certain forms of breast cancer."
arotic,"Related to the aorta, the largest artery in the body."
around-the-clock,A drug that needs to be taken regularly throughout the day.
arousable,How easily someone can be awakened.
arousal,"Being awake and alert, or waking up from sleep."
arousalbe,Waking up from being sleepy.
arouse,How easily someone can be woken up.
AROUSED,To make someone suddenly alert or excited.
arouses,How easy or difficult it is to wake someone up.
arousible,Capable of being awakened.
ARP,A measure indicating how well your heart is working and keeping a regular rhythm.
arrest,When the heart stops working.
arrested,When someone's heart stops beating.
arrests,When someone's heart has stopped beating.
arrhythmias,A medical term for issues with your heartbeat's speed or regularity.
arrhythmic,Arrhythmic means having an issue with the speed or rhythm of your heartbeat.
arrow kit,A set of tools for putting a small tube into the body to take out liquids or give medication.
arrythmia,A change in your heartbeat rhythm.
arrythmias,A problem with your heart's rhythm.
ARSA,An uncommon aortic arch configuration where the right subclavian artery originates directly from the aortic arch instead of the brachiocephalic artery.
ARSD,"A lung condition that causes a drop in oxygen levels in the blood, which can be dangerous because your organs need oxygen to function properly."
art line,A thin tube inserted into an artery to check blood pressure and draw blood samples.
art lined,A thin tube placed in the artery to check blood pressure and collect blood samples.
Arterial,Blood vessel that carries blood away from the heart.
arterial blood gas,Arterial blood gas measures oxygen and carbon dioxide levels in the arteries.
arterial blood gasses,Testing oxygen and carbon dioxide levels in your arteries.
ARTERIAL EMBOLIZATION,Blocking the blood flow to a tumor or abnormal tissue using a special procedure called arterial embolization.
arterial line,A thin tube inserted into an artery to check blood pressure and draw blood samples.
arterial lines,A tiny tube inserted into an artery to measure blood pressure and collect blood samples.
arterial occlusion,When an artery gets clogged and blood can't flow through it.
arterial phase,"A stage during a CT exam where contrast is in the arteries, not yet enhancing organs."
Arterial spin labeling,A technique used in MRI to show how well blood is reaching different parts of the brain.
arterial vasculature,Blood vessels that transport oxygen-rich blood throughout the body.
arterial venous,A condition where someone has a tangled network of arteries and veins since birth.
arterial venous bridge,A connection between an artery and a vein in the body.
arterialized,A blood vessel that becomes more like an artery by thickening its wall and widening in size.
arteries,Blood vessels that transport blood from the heart to different areas of the body.
arteriial,Arterial - a blood vessel that carries blood from the heart.
arterio-venous,It refers to a connection between an artery and a vein.
ARTERIOGRAM,A test that uses pictures to check blood vessels in the body.
ARTERIOGRAMS,"Arteriograms are pictures of blood vessels in the body, like arteries, veins, and the heart."
arteriographically,"A method for capturing images of blood vessels throughout the body, such as arteries, veins, and the heart."
ARTERIOGRAPHY,A method to capture images of blood vessels around the organs like the heart using a special type of X-ray.
arteriolar,Arteriolar means the thickening of artery walls due to aging.
ARTERIOLAR HYALINOSIS,When arteries thicken with age.
arteriole,Arterioles are tiny blood vessel branches coming off arteries.
arterioles,Tiny branches of the blood vessels that stem from arteries.
ARTERIOLONEPHROSCLEROSIS,"Kidney hardening often linked to high blood pressure and renal arteriole issues, can be either harmless or severe."
arterionephrosclerosis,Arterionephrosclerosis is when the arteries in the kidneys become thick or hard.
arteriopathy,A condition that affects the arteries.
Arterioplasty,Fixing or rebuilding the wall of an artery through surgery.
ARTERIOPORTAL,"Blood moves between different parts of the liver, which can lead to certain health issues like high blood pressure in the liver."
arteriosclerotic,Arteriosclerotic: The buildup of fats and other substances on blood vessel walls that can cause blockages and potentially deadly complications.
arteriotomy,Making a cut in an artery during an operation.
arteriovenous,Describing something that involves both arteries and veins.
arteriovenous block,A condition that affects the heart's electrical system.
arteriovenous disks,Arteriovenous disks are when blood vessels in the eye become twisted and mixed up.
arteriovenous fistula,A connection between an artery and a vein.
arteriovenous graft,A plastic tube connecting an artery to a vein.
arteriovenous malformation,A disorder involving a tangled network of arteries and veins that a person is born with.
arteriovenous malformations,A disorder where someone is born with a tangled web of arteries and veins.
arteriovenous node,A cluster of cells that regulates heart rate.
arteritis,Inflammation in an artery.
artery disease status,"When arteries that supply blood to the heart become blocked, it can be really dangerous."
artery of Riolan,A blood vessel that connects two important arteries in the body.
artery was,The main blood tube that takes blood to the liver.
artety,A blood vessel that carries blood from the heart to all parts of the body.
arthitis,"Arthritis is a health condition that makes your joints hurt, swell, and stiffen, and it can happen for different reasons."
Arthrex,Arthrex is a company that makes medical tools for surgeries.
arthritic,"A condition that makes your joints hurt, swell, and stiffen, with different things that can trigger it."
arthrocentesis,Taking out fluid from a joint using a needle.
ARTHRODESIS,Surgery to fuse a joint to stop it from moving.
ARTHROGRAM,An arthrogram is an X-ray of a joint.
arthrogryposis,A rare condition causing stiff joints and muscle weakness from birth.
arthrolithiasis,A type of gout causing joint inflammation.
arthropathic,"A disease that affects the joints, like arthritis."
arthropathy,A condition in which bones at joints like fingers are affected by disease.
arthroplasty,"""Arthroplasty is when a surgeon reconstructs or replaces a joint."""
Arthroplasy,Surgery to rebuild or replace a joint.
arthrosclerosis,Joint hardening.
arthrosclerotic heart,"A heart condition where fat accumulates in your arteries, potentially obstructing blood flow."
arthroscope,A tool used to see inside a joint.
arthroscopic,A surgery done using small tools to check for issues in joint areas like the wrist.
arthroscopic knee surgery,A surgery where small incisions are made in the knee to use a camera and tools to operate inside.
arthroscopies,A tool used by doctors to look inside and potentially fix issues in a joint.
arthroscopy,A procedure where a tool is put into a joint to see and possibly fix issues.
arthrosis,"Swelling, pain, and stiffness at joints like the knees or elbows."
Arthrotek,"A medication for arthritis that helps with pain, swelling, and joint stiffness."
arthrotomies,Surgery to cut into a joint.
arthrotomy,Arthrotomy is an operation that involves cutting into a joint.
Articaine,A drug used to numb the skin before a medical procedure.
articular,"Where two bones meet in the body, like the knee."
articular cartilage,Smooth tissue that covers the ends of bones inside a joint.
articular surface,A part of a bone where it connects with another bone.
articular surfaces,The part of a bone that comes into contact with another bone.
articulate,Someone who can speak clearly and express themselves well.
articulates,Connects two or more bones together.
articulating rasper,A surgical tool that grips onto slippery tissue like an organ using joints.
articulation,Bones moving around in the body.
ARTICULATIONS,Joints where bones move.
artifact,An artifact in a test result is a false appearance that can lead to a misinterpretation of the test outcome.
artifacts,"Artifacts are things in test results that aren't actually present, which can lead to misinterpretation."
artifactual,"Artifactual means something that appears in a test result but isn't actually present, possibly leading to inaccurate interpretations."
artifiact,"An artifact in testing is something that appears in results but is not actually present, leading to misinterpretation."
artificial heart valve,A man-made part put inside the heart to replace a damaged heart valve that helps control blood flow.
artificial insemination,Putting sperm inside a woman's body using a special tool to help her conceive.
Artificial Tear,Eye drops that help relieve dryness and irritation in the eyes.
artificial tears,Artificial tears are like eye drops that help soothe and hydrate your eyes.
ARTRERIES,Arteries are like the highways that carry oxygen-rich blood throughout your body.
ARU,ARU is a team of medical professionals that care for patients with kidney problems.
ARV,A drug that helps treat certain types of viruses.
ARVD,"A heart disease where the heart muscle weakens, leading to abnormal heartbeats and sudden death risk."
ARx,"ARx is a protein needed for body growth, with gene changes linked to different health conditions."
aryepiglottic,Fold found at the entrance of the voice box.
arytenoid,The arytenoid is the cartilage in the back of the throat that helps control vocal sounds.
arytenoidectomy,A surgery to make the breathing passage wider in your throat.
arytenoids,Cartilage in the throat that helps produce different sounds when speaking.
As DirCPOE,An advanced computer system that healthcare providers use to submit medical orders.
as lib,As much and as often as wanted or needed.
AS murmur,A sound heard when there is narrowing in the largest artery near the heart.
as per,Those doctors in charge of a patient's treatment at the hospital.
ASA,"A drug that helps lessen pain, fever, and swelling."
ASA Class,"ASA Class represents a system that measures the risk level of surgery, with Class 2 indicating minor disease for the patient."
ASA Class IV,"This classification system tells how risky a surgery is, with Class IV meaning the patient has severe health issues that are life-threatening."
ASA classification,ASA classification indicates severe illness and decreased function.
Asacol,"Asacol is a medication that helps decrease inflammation, pain, and swelling in the large intestine lining when ulcers form."
asal prong,A method of supplying oxygen directly to the nostrils.
Asat,The amount of oxygen in your blood measured by a fingertip sensor.
asbcess,A collection of infected fluid in the body.
asbestos,A group of tiny fiber minerals once used in insulation that can cause lung diseases if inhaled.
asbestos bodies,Signs of asbestos exposure visible under a microscope in tissue samples.
asbestosis,A lung condition caused by inhaling certain mineral particles.
asccessory muscles,Muscles that help with breathing and may indicate a breathing issue if used while at rest.
ascend,Climbing upwards.
ascending,Moving in an upward direction.
ascending aorta,The spot where the aorta starts from the heart.
ascending aortic,A type of surgery to fix a damaged part of the main artery connected to the heart.
ascending colon,The start of the large intestine found on the right side of the body.
ascends,Climbing upwards.
ascertain,Find out for sure.
ascite,Fluid building up in the belly.
ascites,"When someone has ascites, it means they have fluid in their belly causing it to swell."
ascitic,Fluid buildup in the belly.
ascitic fluid,"Fluid that collects in your belly due to liver problems, containing protein."
ascities,"Ascites is when fluid builds up in your belly, causing it to swell."
ascorbic acid,Vitamin C is also known as ascorbic acid.
ascultated,Listening to organs like the heart or lungs to find out what's wrong and help the person get better.
ASD,A small hole in the heart tissue.
aseizure,Seizure: A sudden burst of unusual electrical activity in the brain that can lead to loss of consciousness and involuntary muscle movements.
Asendin,A medication used to treat certain mental health conditions.
asepsis,Asepsis means being free from harmful germs that can make you sick.
aseptic,Keeping things sterile to avoid germs getting into the body or samples.
aseptic meningitis,An inflammation of the tissues around the brain and spinal cord that is not caused by bacteria but can result from a viral infection or other causes.
aseptic necrosis,Aseptic necrosis is when a bone dies due to lack of blood flow.
aseptic technique,Using sterile tools and methods to prevent contamination during medical procedures.
Asepxia,Asepxia refers to a drug or medication.
ASHD,Build-up of cholesterol plaque in arteries causing heart blood flow blockage.
Ashworth,A test to see how easily a joint moves when someone else tries to move it.
ASID,A device that helps regulate the heart's rhythm and prevent sudden cardiac arrest.
asisted,A place where people who need help with medical or personal care can live.
Asities,It's when you have liquid in your belly that makes it puff up.
asitis,Fluid buildup in the belly causing it to expand.
Asmanex,Medication that helps stop asthma attacks by blocking substances that cause inflammation and discomfort.
ASMT,ASMT is a method to gather information about a person's well-being.
ASO,A test that checks for a past strep infection.
asoiration pneumina,"Asoiration pneumina is an infection in the lungs caused by inhaling food, liquid, vomit, or saliva."
ASP,ASP refers to bodily fluid or material removed using suction.
Asparagine,Asparagine is a type of building block for proteins.
aspart,"A substance produced by the body to regulate sugar, fat, and protein levels in the blood."
aspartame,A fake sugar substitute in food and drinks.
aspartate aminotransferase,"An enzyme found in the liver, heart, and muscles that indicates tissue damage if levels are elevated, also known as SGOT."
aspartic,Aspartic is a type of amino acid that is essential for creating proteins.
Aspartic Acid,A type of amino acid used in proteins.
aspect,An aspect is just one part of something.
aspects,It's just a piece of something.
aspergilloma,A clump of fungus from Aspergillus mixed with dead cells and mucus.
aspergillosis,Aspergillosis is a sickness from a fungus.
aspergillus,Aspergillus is a fungus that can cause respiratory infections in the lungs.
aspergillus fumigatus,A fungus that can make you sick.
aspirate,Sucking out fluid or material from the body using a vacuum.
aspirated,Sucking fluid out of a body part.
aspirates,Sucking out liquid or substances from the body.
ASPIRATIN,Sucking out fluid or material from the body using a machine.
aspiration pneumonia,"It's a lung infection caused by inhaling food, liquids, or saliva."
aspiration syndrome,When you accidentally breathe in something that shouldn't be in your lungs.
aspirations,Aspirations is when food or liquid goes into the wrong pipe and you accidentally breathe it in.
aspiraton,Accidentally inhaling food or liquids.
aspirattion PNA,"A lung infection caused by accidentally inhaling food, liquid, vomit, or saliva."
Aspiriin,"A medicine that helps with pain, fever, inflammation, and can lower the risk of heart attack."
aspirin,"A drug used for pain relief, reducing fever and inflammation, and lowering the risk of heart attack."
aspiring,"A medication that eases pain, fever, inflammation, blood clotting, and can lower the risk of heart attack."
aspirins,A common over-the-counter pain reliever called aspirins.
Aspirtab,Medication sold under the brand name Aspirtab.
aspitate,Aspitate means inhaling something that shouldn't be in your lungs.
asplenia,"Asplenia means not having a spleen, which can increase the chances of severe infections."
aspr,Accidentally breathing in food or drink into your lungs.
ASR,ASR are materials that are used for performing experiments in a lab.
ASRs,ASRs are stuff used in lab experiments.
assailant,A person who attacks someone else.
assault,Being physically attacked.
assaulted,To physically attack someone.
assays,Assays are substances that can harm or kill living cells.
assessed,To check how healthy something or someone is.
assessing,Checking and evaluating someone's health.
ASSESSMENT,To find out about a patient's health.
ASSESSMENT AND,"A summary of medical history, exam findings, problems, and treatment plans in a medical note."
ASSESSMENT AND PLAN,Summary of patient's health issues and treatment strategy in a medical report.
assessmnent,Figuring out how healthy someone is.
assist control,Using a machine to help control the amount of air you breathe in and out.
assist control ventilation,Method for supporting patients' breathing using a breathing tube when they can't breathe by themselves.
assist- control,Helping someone breathe by using a machine that sets how much air they inhale each time.
assisted,A living arrangement for individuals requiring support with medical or personal care.
assisted care facility,"A place where people who need help with daily activities can live, get meals, and personal care services."
assisted living,A place for people who need help with medical or personal care.
assisted living facility,"A place for older adults who need assistance with daily tasks, but not constant medical care."
assistive device,Assistive device: a tool that helps people accomplish tasks they may have difficulty doing independently.
assistive devices,Equipment that makes tasks easier for people who have difficulties doing them on their own.
Assistive Technology,Devices and gadgets that help people with disabilities live more independently.
associate,Related to something.
associate with,Associated with means connected to.
ASSOCIATED,Related or connected to something.
associated with,Linked to something.
Associates,Related to something.
assuming,Assuming is where a medical issue started.
astasia,Unable to stand and walk.
asteatotic,Asteatotic is a skin condition that happens due to dry skin.
Astelin,A medicine you breathe in to help with allergies like a congested or runny nose.
asterixis,Asterixis is when your hand shakes like a bird flapping its wings when your wrist is extended.
asteroid hyalosis,An eye condition that worsens with time and impairs vision.
Asthmacort,Asthmacort is a medication that helps stop swelling in the airways.
AsthmaHaler,AsthmaHaler is a medication.
asthmatic,A condition that makes it hard to breathe due to airway spasms.
asthmatic bronchitis,Breathing trouble from irritated airways: asthmatic bronchitis.
asthmatic type bronchitis,A breathing condition that makes it hard to catch your breath due to irritation in the lungs.
astma,A serious breathing problem caused by tight airways.
ASTPIRATION,Sucking out liquid or material from the body using a vacuum.
Astra profile,Blood chemistry tests that measure levels of various substances using a specific testing machine called Astra.
Astro profile,A blood test that checks for small amounts of cancer in the body.
astrocytes,Cells in the brain and spinal cord that serve various functions.
astrocytoma,A brain cancer called astrocytoma.
Astrovirus,A virus that gives you diarrhea.
ASV,A type of breathing machine that adjusts pressure levels to ensure safe breathing.
asymethry,Something that is not the same on both sides.
asymetric,Uneven or unbalanced in shape or form.
asymmetrc,"When something is not the same on both sides, it may not be normal."
asymmetric,"When something is not the same on both sides, it's not normal."
asymmetrical,When something is different on each side and not balanced.
asymmetrically,Not the same on both sides; this might be irregular.
asymmetries,Asymmetries mean things that aren't the same on both sides.
asymmetry,Asymmetry is when something doesn't look the same on both sides.
asymptomatic HIV infection,When someone has HIV but doesn't show any symptoms.
asynchronous,Not happening at the same time.
asynchronously,Not happening at the same time.
asynclitism,"When a baby's head is tilted to the side during birth, it's called asynclitism and can cause complications."
asystole,Asystole is when the heart stops beating.
asystolic,When your heart stops beating.
AT III,A natural substance that prevents blood from clotting too much to keep it flowing smoothly.
Atacand,It is a medication that helps lower high blood pressure and treats congestive heart failure.
atalectasis,When part of your lung collapses.
Atarax,"A medication that stops histamines from causing symptoms like itching, sneezing, and watery eyes."
ataxia,Difficulty in controlling one's muscles.
ataxia telangiectasia,"A rare genetic disorder that affects the nervous system, immune system, and increases the risk of cancer."
ATB,Medications that destroy bacteria in the body.
AtBedtime,A type of insulin for managing diabetes taken before bedtime.
ATC,A medication that needs to be taken at specific times throughout the day.
atelecatsis,Atelectasis is when part of your lung collapses.
atelectais,When part of your lung collapses.
atelectasis,The lung partly or completely collapses.
atelectatic,When a lung caves in.
ATELECTATIC LUNG,Collapsed air sacs in the lungs make breathing difficult.
Atenlolo,"A medication for chest pain, heart rhythm issues, and high blood pressure."
atenolol,"Medicine that helps with chest pain, heart rhythm, and high blood pressure."
Atentolol,"Medication used for chest pain, abnormal heart rhythms, and high blood pressure."
ateriovenous communication,An abnormal direct connection between arteries and veins without the usual capillaries in between.
ATG,A protein used in transplants to stop the body from rejecting the new organ.
Atherectomy,Atherectomy is a procedure that removes plaque from the walls of arteries.
athero- thromboembolic,A blockage in a blood vessel caused by a clot or plaque from somewhere else.
atheroma,"Atheroma is a clump of fat and junk that clogs arteries, potentially restricting blood flow."
atheromatous,Atheromatous means having a waxy plaque buildup inside blood vessels.
atheroocclusive,"When there's a block in your artery that stops blood flow, it's called atheroocclusive."
atherosclerosis,"Buildup of fat and inflammation in the arteries that can lead to heart attacks, strokes, and other health issues."
atherosclerotic,Plaque buildup in artery walls that can block blood flow.
atherosclerotic calcification,"Calcium deposits in the arteries that make them stiff, raising the chance of heart issues like heart attacks."
atherosclerotic disease,"Hardening of the arteries where plaque buildup inside arteries can block blood flow, leading to organ damage like heart attack or stroke."
atherothromboembolism,A blockage in a blood vessel caused by a clot or plaque that traveled from somewhere else in the body.
athletes foot,A fungal infection that affects the feet.
ATIVAN,Ativan is a medication that helps with anxiety.
atlantoaxial,A spot where two bones in the neck are connected.
atm,A unit to measure air pressure.
atmosphere,Atmosphere is a term used to describe the pressure of the air around us.
atmospheres,A measure of how much air pressure there is in a certain area.
ATN,"Cells in the kidney tubes die, impacting filtration ability."
atomizer,A gadget that turns liquid medicine into a fine mist for delivery into the lungs or nose.
atonic,"Atonic: A condition where the muscles in the bladder don't contract strongly enough, causing difficulty in urination."
ATORVASTATIN,A drug that helps reduce bad cholesterol in the blood to prevent heart issues like stroke and heart attacks.
atorvastatina,A medication known as atorvastatin used to lower cholesterol levels in the body.
ATP,Using a heart pacer to regulate a fast heart rate.
Atpic dermatitis,Atpic dermatitis is the most common kind of eczema where the skin gets itchy and inflamed.
ATRA,A cancer medication.
atraumatic,No harm caused to tissues.
atraumatically,Not causing much harm to tissues.
atresia,When a passage or opening in the body is missing or closed off.
Atria,The two top chambers of the heart.
Atrial,Having to do with the upper part of the heart.
ATRIAL ENLARGEMENT,The heart's top chamber getting bigger is called atrial enlargement.
Atrial fib,"Atrial fib is when your heart beats irregularly, which can make you tired and more likely to have a stroke."
atrial fibrilation,An irregular heart rhythm that can make you tired and increase the risk of strokes.
Atrial fibrillation,Atrial fibrillation is when your heart beats irregularly and can make you tired or more likely to have a stroke.
atrial flutter,An irregular heart rhythm causing the upper chambers to beat rapidly and potentially leading to strokes.
Atrial fluttering,"Atrial fluttering is when your heart's upper chambers beat out of sync, potentially leading to a fast heartbeat and increased risk of stroke."
atrial flutters,"Atrial flutters are when the heart's upper chambers beat quickly due to a short-circuit, potentially leading to a fast heartbeat or strokes."
atrial kick,"When the upper part of the heart squeezes, it gives an extra push to blood flow."
Atrial Rhthym,Atrial rhythm is an irregular heartbeat.
atrial septal,A bulge in the wall that separates the two upper chambers of the heart.
atrial septal aneurysm,A bulge in the heart's upper chamber wall.
atrial septal defect,A hole in the heart tissue dividing the upper chambers.
atrial septum,The wall that separates the top chambers of the heart.
atrial tachycardia,When your heart beats too fast due to irregular electrical signals starting in the upper heart chambers.
atrially paced,Atrially paced means the heart rhythm is controlled by a pacemaker with no natural atrial activity.
atrio caval,A place in the heart where the superior vena cava meets the right atrium.
atriocaval,A spot in the heart where the upper vena cava connects and merges with the top of the right atrium.
atriocaval junction,The atriocaval junction is where the top vein in the body connects to the upper chamber of the heart.
ATRIOSEPTAL,A tiny gap in the heart tissue that separates the top chambers.
atrioseptal defect,A small hole in the heart tissue that divides the upper chambers.
atriotomy,Atriotomy is when surgeons open the top part of the heart during an operation.
atrioventricular,It's related to the upper and lower heart chambers.
atrioventricular block,Atrioventricular block is a heart condition where the heart beats too slowly.
Atrioventricular node,Atrioventricular node: Special cells in the heart that regulate heart rate.
atripla,Atripla is a medicine for HIV/AIDS.
atrium,Atrium is the entrance chamber for blood in the heart.
atrophied,Atrophied means a decrease in size or wasting away of part of the body.
atrophies,"When something atrophies, it shrinks or wastes away."
atropine,A medication that helps decrease saliva and mucus production and control heart rate.
atrovent,A medication that helps keep airways open and makes breathing smoother.
attain,Reaching a goal or accomplishment.
attaining,Reaching a goal or destination.
Attend,A doctor in charge of managing patient care in the hospital at a specific time.
attend to,To take care of something.
attended,A doctor who supervises care in the hospital during specific hours.
Attendee,A person who goes to an event.
Attendees,Someone who works in the medical field and helps people with their health.
Attending,Doctor who takes charge of patient care in the hospital at specific times.
attending note,A section in a patient's medical record where the main doctor writes about the patient's health.
attending physician,Doctor who takes care of patients in the hospital during specific hours.
attendings,A doctor who supervises care during specific times in the hospital.
attensing,A doctor who supervises patient care during specific hours at a hospital.
attention deficit disorder,"Trouble focusing and hyperactivity in children lasting into adulthood, making daily tasks challenging."
attention deficit syndrome,"A condition starting in childhood causing difficulty focusing and hyperactivity, making daily tasks challenging."
attenuated,An X-ray or CT scan showing up as bright.
attenuating,To make something weaker or less intense.
attenuation,Attenuation means showing up brightly in an X-ray or CT scan.
ATTESTATION,Confirming that something is true.
attg,Attending physician: Doctor in charge of hospital care during specific hours.
attic,A small upper part of the middle ear where the hammer and anvil bones are located.
attitude,Your feelings toward something or someone.
attributable,Because of something; caused by.
attribute,Attribute means caused by something.
attributed,Attributed means something is caused by something else.
attributes,Caused by something.
ATV,An ATV is a vehicle built to ride off-road on various types of terrain.
atypia,Cells that aren't normal.
atypical,Not typical or usual.
atypical antipsychotics,A type of medication to help with mental health issues.
atypical cells,Abnormal cells found in living organisms.
ATYPICAL DUCTAL HYPERPLASIA,Excessive cell growth in the breast.
